None,,b220,b220,b234,b234,b247,b247,b248,b248,b261,b261,b262,b262,b263,b263,b264,b264,b277,b277,b278,b278,b396,b396
None,,prec,rec,prec,rec,prec,rec,prec,rec,prec,rec,prec,rec,prec,rec,prec,rec,prec,rec,prec,rec,prec,rec
Muestra,Entr.,,,,,,,,,,,,,,,,,,,,,,
Peq,b220,0.412539515279,0.892307692308,0.437249906304,0.698412698413,0.45004239149,0.65625,0.458919842233,0.599099099099,0.457092794814,0.695652173913,0.485846597623,0.625786163522,0.477681131502,0.595611285266,0.500260853454,0.701923076923,0.435770884979,0.458525345622,0.476693255633,0.551020408163,0.0483294405559,0.666666666667
Peq,b234,0.399730820996,0.846153846154,0.45354120562,0.746031746032,0.476233198589,0.729166666667,0.505033033089,0.720720720721,0.464052391133,0.715415019763,0.508639515091,0.685534591195,0.51769582096,0.699059561129,0.517881670053,0.753205128205,0.489436502755,0.569124423963,0.479754950772,0.557823129252,0.0529066895408,0.733333333333
Peq,b247,0.337098692033,0.646153846154,0.448216599048,0.730158730159,0.484992613411,0.755208333333,0.497096061164,0.698198198198,0.451393612383,0.679841897233,0.51430564675,0.701257861635,0.523229943512,0.71473354232,0.528277268188,0.785256410256,0.518084331051,0.638248847926,0.512996731346,0.637188208617,0.0483294405559,0.666666666667
Peq,b248,0.357718894009,0.707692307692,0.473850194318,0.809523809524,0.500042819321,0.802083333333,0.495478023181,0.693693693694,0.459898211134,0.703557312253,0.487098815188,0.62893081761,0.532877798374,0.742946708464,0.534302188216,0.804487179487,0.484327413948,0.557603686636,0.499285070007,0.603174603175,0.0483294405559,0.666666666667
Peq,b261,0.408331122314,0.876923076923,0.471394509865,0.801587301587,0.491791982639,0.776041666667,0.493849539873,0.689189189189,0.483900236119,0.774703557312,0.510921758391,0.691823899371,0.536007561275,0.752351097179,0.516816854332,0.75,0.519880305713,0.642857142857,0.506692619185,0.621315192744,0.0437077335313,0.6
Peq,b262,0.381757693374,0.784615384615,0.461338184216,0.769841269841,0.501660941838,0.807291666667,0.492210509768,0.684684684685,0.493896305397,0.806324110672,0.496901168969,0.654088050314,0.533925733517,0.746081504702,0.526234168439,0.778846153846,0.541250796412,0.700460829493,0.509414256143,0.628117913832,0.0483294405559,0.666666666667
Peq,b263,0.386351128233,0.8,0.471394509865,0.801587301587,0.496774843659,0.791666666667,0.493849539873,0.689189189189,0.473501345372,0.743083003953,0.525254713197,0.732704402516,0.537041516474,0.755485893417,0.529292224179,0.788461538462,0.518084331051,0.638248847926,0.511212057918,0.632653061224,0.0483294405559,0.666666666667
Peq,b264,0.352685050798,0.692307692308,0.445515193677,0.722222222222,0.501660941838,0.807291666667,0.500301200583,0.707207207207,0.466786523605,0.723320158103,0.51430564675,0.701257861635,0.546143825494,0.783699059561,0.52417329378,0.772435897436,0.489436502755,0.569124423963,0.496449560044,0.596371882086,0.0483294405559,0.666666666667
Peq,b277,0.416688464557,0.907692307692,0.371689663699,0.531746031746,0.493463864587,0.78125,0.490560830073,0.68018018018,0.470835813946,0.735177865613,0.356166395578,0.732704402516,0.533925733517,0.746081504702,0.504785717737,0.714743589744,0.490446196001,0.571428571429,0.524286806343,0.666666666667,0.0483294405559,0.666666666667
Peq,b278,0.424812999742,0.938461538462,0.485794142624,0.849206349206,0.495124782427,0.786458333333,0.480433182554,0.653153153153,0.314710589379,0.758893280632,0.530546190155,0.748427672956,0.532877798374,0.742946708464,0.489771231012,0.673076923077,0.486383270661,0.562211981567,0.498343454882,0.600907029478,0.0483294405559,0.666666666667
Peq,b396,0.272905119009,0.476923076923,0.398389645815,0.595238095238,0.461581027771,0.6875,0.457046367078,0.594594594595,0.425774853217,0.612648221344,0.47297971252,0.594339622642,0.487979346455,0.620689655172,0.497967270608,0.695512820513,0.42571023128,0.440092165899,0.419782614828,0.437641723356,0.0343283290709,0.466666666667
